"","DistNo.","nX","P2","Q","TruROP","Method","Mean"
"239","10","30","0.98","390","390.430001866115","boot","365.910390302224"
"240","10","30","0.99","470","488.392797798892","boot","366.996437285018"
"241","11","7","0.8","187","129.930764392445","boot","243.564594268969"
"242","11","7","0.85","253","166.286964208943","boot","242.629661951075"
"243","11","7","0.9","380","226.753460458822","boot","242.056951600297"
"244","11","7","0.95","440","359.360776380979","boot","243.674011308468"
"245","11","7","0.98","780","601.421777175458","boot","244.343925719078"
"246","11","7","0.99","940","846.448421595572","boot","245.70365487758"
"247","11","12","0.8","187","129.930764392445","boot","359.069453855529"
"248","11","12","0.85","253","166.286964208943","boot","358.684534442528"
"249","11","12","0.9","380","226.753460458822","boot","358.633869365046"
"250","11","12","0.95","440","359.360776380979","boot","362.703326384625"
"251","11","12","0.98","780","601.421777175458","boot","361.055421410415"
"252","11","12","0.99","940","846.448421595572","boot","361.732233465025"
"253","11","24","0.8","187","129.930764392445","boot","487.721105933433"
"254","11","24","0.85","253","166.286964208943","boot","488.449716449792"
"255","11","24","0.9","380","226.753460458822","boot","489.06556128527"
"256","11","24","0.95","440","359.360776380979","boot","493.242125158115"
"257","11","24","0.98","780","601.421777175458","boot","494.030962380999"
"258","11","24","0.99","940","846.448421595572","boot","495.97374956605"
"259","11","30","0.8","187","129.930764392445","boot","558.189223765213"
"260","11","30","0.85","253","166.286964208943","boot","556.432087790163"
"261","11","30","0.9","380","226.753460458822","boot","558.091734427564"
"262","11","30","0.95","440","359.360776380979","boot","561.447214237233"
"263","11","30","0.98","780","601.421777175458","boot","564.905369004528"
"264","11","30","0.99","940","846.448421595572","boot","567.304721798722"
"265","12","7","0.8","18","121.051621419554","boot","122.100923640941"
"266","12","7","0.85","25","124.881453146574","boot","122.031434579918"
"267","12","7","0.9","38","129.178315929972","boot","122.00804450708"
"268","12","7","0.95","44","134.930864208781","boot","122.589014614447"
"269","12","7","0.98","78","140.902811666907","boot","122.761113036913"
"270","12","7","0.99","94","144.764123104154","boot","123.063889328804"
"271","12","12","0.8","18","121.051621419554","boot","128.647527570535"
"272","12","12","0.85","25","124.881453146574","boot","128.538272886152"
"273","12","12","0.9","38","129.178315929972","boot","128.591253321293"
"274","12","12","0.95","44","134.930864208781","boot","129.311330830819"
"275","12","12","0.98","78","140.902811666907","boot","129.552682248519"
"276","12","12","0.99","94","144.764123104154","boot","129.930052268982"
"277","12","24","0.8","18","121.051621419554","boot","132.337387446967"
"278","12","24","0.85","25","124.881453146574","boot","132.193828989272"
"279","12","24","0.9","38","129.178315929972","boot","132.166335491648"
"280","12","24","0.95","44","134.930864208781","boot","133.505466524105"
"281","12","24","0.98","78","140.902811666907","boot","134.084080313429"
"282","12","24","0.99","94","144.764123104154","boot","134.651134518141"
"283","12","30","0.8","18","121.051621419554","boot","134.613622332324"
"284","12","30","0.85","25","124.881453146574","boot","134.552415487902"
"285","12","30","0.9","38","129.178315929972","boot","134.486693316346"
"286","12","30","0.95","44","134.930864208781","boot","136.034524673437"
"287","12","30","0.98","78","140.902811666907","boot","136.751694523042"
"288","12","30","0.99","94","144.764123104154","boot","137.451015603847"
